ID,NAME,DISTRICT,TYPE,X_COORD,Y_COORD,RASTERVALU,CLIMATE_ZONE,FROST_RISK
31,Sheeshe,Butha Buthe,Village,28.40288,-28.65192,1698,Valley,Low
32,Phoku(Ha Masilo),Butha Buthe,Village,28.41448,-28.631,1697,Valley,Low
33,Ha Poosho,Butha Buthe,Village,28.45212,-28.64906,1850,Foothill,Moderate
34,Ha Potjo,Butha Buthe,Village,28.46106,-28.64393,1906,Foothill,Moderate
35,Makhunoane,Butha Buthe,Principal Village,28.45707,-28.62568,1736,Valley,Low
36,Ha 'Mantlobo,Butha Buthe,Village,28.47171,-28.67625,1824,Foothill,Moderate
37,Ha Lekula,Butha Buthe,Village,28.4949,-28.6118,1776,Valley,Low
38,Bongalla,Butha Buthe,Village,28.49072,-28.70268,1843,Foothill,Moderate
39,Ha Jane,Butha Buthe,Village,28.49719,-28.70934,1950,Foothill,Moderate
40,Ha Lepatoa,Butha Buthe,Village,28.51703,-28.61797,1839,Foothill,Moderate
41,Ha Mokotjela,Butha Buthe,Village,28.52166,-28.6119,1796,Valley,Low
42,Mechachachaneng,Butha Buthe,Village,28.57199,-28.6164,1884,Foothill,Moderate
43,Masetleng,Butha Buthe,Village,28.5788,-28.62097,1982,Foothill,Moderate
44,Ha Napo,Butha Buthe,Village,28.60521,-28.61508,1946,Foothill,Moderate
45,Seqhobong,Butha Buthe,Village,28.58611,-28.62559,2171,Highland,Moderate
46,Saballa,Butha Buthe,Village,28.62053,-28.60178,1973,Foothill,Moderate
47,Liqobong,Butha Buthe,Village,28.62487,-28.62173,2181,Highland,Moderate
48,Makoeteng,Butha Buthe,Village,28.62553,-28.64005,2240,Mountain,High
49,Likhahleng,Butha Buthe,Village,28.62698,-28.64841,2244,Mountain,High
50,Ha 'Makhoshane,Butha Buthe,Village,28.5922,-28.65527,2166,Highland,Moderate
51,Manoeleng,Butha Buthe,Village,28.5815,-28.64602,2093,Highland,Moderate
52,Ha Rats'ele,Butha Buthe,Village,28.5578,-28.68678,2197,Highland,Moderate
53,Thoteng,Butha Buthe,Village,28.54842,-28.68261,2065,Highland,Moderate
54,Ha Makhethe,Butha Buthe,Village,28.52576,-28.67191,1951,Foothill,Moderate
55,Kopialla,Butha Buthe,Village,28.51633,-28.66499,1883,Foothill,Moderate
56,Ha Mothae,Butha Buthe,Village,28.64992,-28.60454,2348,Mountain,High
57,Ha Sefako,Butha Buthe,Village,28.63313,-28.59156,1979,Foothill,Moderate
58,Ha Nchoatla,Butha Buthe,Village,28.66503,-28.64182,2375,Mountain,High
59,Ha Katsi,Butha Buthe,Village,28.51414,-28.705,1942,Foothill,Moderate
