ID,NAME,DISTRICT,TYPE,X_COORD,Y_COORD,RASTERVALU
151,Ha Selomo,Butha Buthe,Village,28.34182,-28.77747,1730
152,Ha Malofo,Butha Buthe,Village,28.33969,-28.76292,1702
153,Ha Sebophe,Butha Buthe,Village,28.36124,-28.75860,1719
154,Ha Katamelo,Butha Buthe,Village,28.38173,-28.76791,1871
155,Ha Mohalenyane,Butha Buthe,Village,28.37637,-28.78577,1753
156,Ha Mothunts'ane,Butha Buthe,Village,28.39673,-28.80469,1827
157,Tamaseka,Butha Buthe,Village,28.41639,-28.82124,1878
158,Mabaleteng,Butha Buthe,Village,28.43082,-28.83583,1933
159,Makeneg,Butha Buthe,Village,28.46605,-28.83550,1991
160,Lifefong,Butha Buthe,Village,28.43147,-28.79207,1876
161,Boinyatso,Butha Buthe,Village,28.46605,-28.78420,1958
162,'Muela,Butha Buthe,Village,28.46195,-28.77601,1861
163,Moholeng,Butha Buthe,Village,28.48457,-28.79322,2025
164,Ha Leboea,Butha Buthe,Village,28.35526,-28.80502,1798
190,Phelantaba,Butha Buthe,Village,28.50529,-28.76214,1861
191,Khamane,Butha Buthe,Village,28.53593,-28.76164,2114
192,Sebataolong,Butha Buthe,Village,28.52204,-28.78728,2001
193,Ha Ranthokoe,Butha Buthe,Village,28.61997,-28.82360,2487
194,Boalathapo,Butha Buthe,Village,28.59398,-28.86313,2442
195,Ha Moetsuoa,Butha Buthe,Village,28.57973,-28.90409,2455
196,Liqalaneng,Butha Buthe,Village,28.54804,-28.90373,2356
197,Maoela-oela,Butha Buthe,Village,28.54661,-28.93151,2311
198,Ha Lehloara,Butha Buthe,Village,28.55950,-28.94871,2240
199,Ha Lemphane,Butha Buthe,Village,28.57614,-28.95144,2409
200,Lehlakaneng,Butha Buthe,Village,28.53876,-28.98084,2420
201,Ha Tomo,Butha Buthe,Village,28.54674,-28.99725,2273
202,Liqhobong,Butha Buthe,Village,28.59871,-28.98928,2438
203,Ha Sekhobe,Butha Buthe,Village,28.59324,-28.96785,2448
204,Patuoe,Butha Buthe,Village,28.60372,-28.95965,2388
205,Thoteng,Butha Buthe,Village,28.61192,-28.94620,2287
206,Liteleng,Butha Buthe,Village,28.62970,-28.93070,2371
207,Setonong,Butha Buthe,Village,28.63700,-28.90928,2389
376,Ha Rampai,Butha Buthe,Village,28.51750,-29.00771,2440
377,Ha Mahlekefane,Butha Buthe,Village,28.52577,-29.03328,2272
378,Ha Sello,Butha Buthe,Village,28.56915,-29.02376,2346
379,Ha Lesaoana,Butha Buthe,Village,28.51549,-29.07115,2284
381,Ha Lephats'oane,Butha Buthe,Village,28.60024,-29.00971,2388
382,Ha Ralinko,Butha Buthe,Village,28.59623,-29.03629,2528
383,Kao (Shishila),Butha Buthe,Village,28.63058,-29.02125,2513
2058,Butha Buthe,Butha Buthe,District Town,28.25236,-28.76806,1722
2059,Khukhune,Butha Buthe,Town,28.41477,-28.73618,1686
2078,Ha Mopeli,Butha Buthe,Principal Village,28.28557,-28.76032,1785
