ID,NAME,DISTRICT,TYPE,X_COORD,Y_COORD,RASTERVALU,CLIMATE_ZONE,FROST_RISK,RAINFALL_POTENTIAL,CURRENT_TEMP_C,CURRENT_RAIN_MM,CURRENT_CONDITION,AGRICULTURAL_ADVISORY
46,Saballa,Butha Buthe,Village,28.62053,-28.60178,1973,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
47,Liqobong,Butha Buthe,Village,28.62487,-28.62173,2181,Highland,Moderate,Very Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
48,Makoeteng,Butha Buthe,Village,28.62553,-28.64005,2240,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
49,Likhahleng,Butha Buthe,Village,28.62698,-28.64841,2244,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
50,Ha 'Makhoshane,Butha Buthe,Village,28.5922,-28.65527,2166,Highland,Moderate,Very Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
51,Manoeleng,Butha Buthe,Village,28.5815,-28.64602,2093,Highland,Moderate,Very Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
52,Ha Rats'ele,Butha Buthe,Village,28.5578,-28.68678,2197,Highland,Moderate,Very Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
53,Thoteng,Butha Buthe,Village,28.54842,-28.68261,2065,Highland,Moderate,Very Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
54,Ha Makhethe,Butha Buthe,Village,28.52576,-28.67191,1951,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
55,Kopialla,Butha Buthe,Village,28.51633,-28.66499,1883,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
56,Ha Mothae,Butha Buthe,Village,28.64992,-28.60454,2348,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
57,Ha Sefako,Butha Buthe,Village,28.63313,-28.59156,1979,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
58,Ha Nchoatla,Butha Buthe,Village,28.66503,-28.64182,2375,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
59,Ha Katsi,Butha Buthe,Village,28.51414,-28.705,1942,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
60,Ha Mohau,Butha Buthe,Village,28.65899,-28.59311,2144,Highland,Moderate,Very Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
61,Mafika-Lisiu,Butha Buthe,Village,28.6551,-28.5795,1993,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
62,Ha Sekoati,Butha Buthe,Village,28.64627,-28.58431,2109,Highland,Moderate,Very Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
63,Ha Molisana,Butha Buthe,Village,28.67778,-28.59166,2114,Highland,Moderate,Very Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
64,Ha Hlakacha,Butha Buthe,Village,28.50715,-28.74652,1924,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
143,Majakaneng,Butha Buthe,Village,28.27672,-28.7554,1717,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
145,Tlokoeng,Butha Buthe,Village,28.27057,-28.78168,1756,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
146,Matebeleng,Butha Buthe,Village,28.28551,-28.79078,1809,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
147,Makanyaneng,Butha Buthe,Village,28.30873,-28.78123,1803,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
148,Ha Lepekola,Butha Buthe,Village,28.31304,-28.77501,1803,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
149,Ha Lishobana,Butha Buthe,Village,28.31785,-28.78989,1799,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
150,Khilibithing,Butha Buthe,Village,28.33786,-28.79659,1816,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
151,Ha Selomo,Butha Buthe,Village,28.34182,-28.77747,1730,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
152,Ha Malofo,Butha Buthe,Village,28.33969,-28.76292,1702,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
153,Ha Sebophe,Butha Buthe,Village,28.36124,-28.7586,1719,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
154,Ha Katamelo,Butha Buthe,Village,28.38173,-28.76791,1871,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
155,Ha Mohalenyane,Butha Buthe,Village,28.37637,-28.78577,1753,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
156,Ha Mothunts'ane,Butha Buthe,Village,28.39673,-28.80469,1827,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
157,Tamaseka,Butha Buthe,Village,28.41639,-28.82124,1878,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
158,Mabaleteng,Butha Buthe,Village,28.43082,-28.83583,1933,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
159,Makeneg,Butha Buthe,Village,28.46605,-28.8355,1991,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
160,Lifefong,Butha Buthe,Village,28.43147,-28.79207,1876,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
161,Boinyatso,Butha Buthe,Village,28.46605,-28.7842,1958,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
162,'Muela,Butha Buthe,Village,28.46195,-28.77601,1861,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
163,Moholeng,Butha Buthe,Village,28.48457,-28.79322,2025,Highland,Moderate,Very Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
164,Ha Leboea,Butha Buthe,Village,28.35526,-28.80502,1798,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
190,Phelantaba,Butha Buthe,Village,28.50529,-28.76214,1861,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
191,Khamane,Butha Buthe,Village,28.53593,-28.76164,2114,Highland,Moderate,Very Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
192,Sebataolong,Butha Buthe,Village,28.52204,-28.78728,2001,Highland,Moderate,Very Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
193,Ha Ranthokoe,Butha Buthe,Village,28.61997,-28.8236,2487,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
194,Boalathapo,Butha Buthe,Village,28.59398,-28.86313,2442,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
195,Ha Moetsuoa,Butha Buthe,Village,28.57973,-28.90409,2455,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
196,Liqalaneng,Butha Buthe,Village,28.54804,-28.90373,2356,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
197,Maoela-oela,Butha Buthe,Village,28.54661,-28.93151,2311,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
198,Ha Lehloara,Butha Buthe,Village,28.5595,-28.94871,2240,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
199,Ha Lemphane,Butha Buthe,Village,28.57614,-28.95144,2409,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
200,Lehlakaneng,Butha Buthe,Village,28.53876,-28.98084,2420,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
201,Ha Tomo,Butha Buthe,Village,28.54674,-28.99725,2273,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
